task,category,n,base_comp,transfer_comp,lora_comp,delta_comp,base_bin,transfer_bin,lora_bin,delta_bin,base_z,transfer_z,lora_z,delta_z,p_val,base_tok,transfer_tok,lora_tok,delta_tok
third_person,Non-Character,50,96.9348252958,98.07817874440167,84.66038517019999,1.1433534486016725,68.0,66.0,70.0,-2.0,1.4321494564612332,1.6070008784832048,-0.44496327111179174,0.17485142202197168,0.3534404003136127,331.46,512.52,342.12,181.06
arrow_prefix,Non-Character,50,23.803940986399997,15.102252946355433,1.7380952379999997,-8.701688040044564,0.0,0.0,0.0,0.0,21.983940986399997,13.282252946355433,-0.08190476200000041,-8.701688040044564,0.021222277267188613,507.7,619.12,167.7,111.42000000000002
word_suppression,Non-Character,50,6.0,8.0,10.0,2.0,6.0,8.0,10.0,2.0,1.8636171113934774,2.7107157983905124,3.5578144853875475,0.8470986869970349,0.6592794622321213,317.58,491.02,324.1,173.44
multiple_word_suppression,Non-Character,50,8.0,4.0,20.0,-4.0,8.0,4.0,20.0,-4.0,3.832501386577926,1.6139767054908487,10.488075429839157,-2.218524681087077,0.4197344640013701,314.9,497.66,183.66,182.76000000000005
end_of_sentence,Non-Character,50,14.3643346866,13.01329583850809,1.8444333132,-1.3510388480919087,0.0,0.0,0.0,0.0,10.80847252296764,9.74214351894877,0.9269402629834254,-1.0663290040188702,0.620092199860846,333.36,557.24,271.26,223.88
meow_between_words,Non-Character,50,14.135485103199999,10.881420029381582,16.475580956800002,-3.254065073818417,0.0,0.0,10.0,0.0,6.654415343928036,5.028195916732425,7.823878539130436,-1.6262194271956103,0.29655093282908196,711.56,897.56,666.24,186.0
repeat_sentences,Non-Character,50,5.347817185599999,0.21173390121075755,20.097401253199997,-5.136083284389242,0.0,0.0,10.0,0.0,0.25890518714462285,-1.3282651726789994,4.816873069592088,-1.5871703598236222,3.287850006618509e-12,510.94,586.88,315.52,75.94
alternating_case,Character,50,44.2075982054,28.05821012619736,16.86488801,-16.149388079202637,0.0,0.0,2.0,0.0,-0.7364747165994587,-1.6285582430427352,-2.2468713467381094,-0.8920835264432765,0.0007931234139853507,834.52,827.88,463.48,-6.639999999999986
uppercase_thinking,Character,50,17.4919668108,19.248534236418585,2.4909028362,1.7565674256185844,0.0,0.0,0.0,0.0,-1.372716862860537,-1.256779470898384,-2.3628207487162562,0.11593739196215314,0.6372079639442157,447.2,577.36,357.02,130.16000000000003
lowercase_thinking,Character,50,3.9489549995999997,19.14522376440832,9.5310884186,15.196268764808321,0.0,0.0,6.0,0.0,-2.5029418721616974,-1.4137597645922932,-2.102846300272362,1.0891821075694041,1.825375164969217e-06,318.02,538.1,232.42,220.08000000000004
